HG002vGRCh38_wm_50md_PBCCS_sniffles_0_67934	0.0.0.0.0
HG003vGRCh38_wm_50md_PBCCS_sniffles_0_65977	0.0.0.0.0
HG002vGRCh38_wm_50md_PBCCS_sniffles_0_67935	0.0.1.0.0
HG004vGRCh38_wm_50md_PBCCS_sniffles_0_65386	0.0.1.0.0
HG003vGRCh38_wm_50md_PBCCS_sniffles_0_65978	0.0.1.0.0
HG002vGRCh38_wm_50md_PBCCS_sniffles_0_67936	0.0.1.0.0
HG004vGRCh38_wm_50md_PBCCS_sniffles_0_65387	0.0.2.0.0
HG003vGRCh38_wm_50md_PBCCS_sniffles_0_65981	0.0.3.0.0
HG003vGRCh38_wm_50md_PBCCS_sniffles_0_65984	0.1.0.0.0
HG002vGRCh38_wm_50md_PBCCS_sniffles_0_67946	0.1.0.0.0
HG004vGRCh38_wm_50md_PBCCS_sniffles_0_65398	0.1.0.0.0
HG004vGRCh38_wm_50md_PBCCS_sniffles_0_65394	0.1.1.0.0
HG002vGRCh38_wm_50md_PBCCS_sniffles_0_67943	0.1.1.0.0
HG002vGRCh38_wm_50md_PBCCS_sniffles_0_67947	0.1.1.0.0
HG002vGRCh38_wm_50md_PBCCS_sniffles_0_67940	0.1.1.0.0
HG004vGRCh38_wm_50md_PBCCS_sniffles_0_65391	0.1.1.0.0
HG004vGRCh38_wm_50md_PBCCS_sniffles_0_65399	0.1.1.0.0
HG004vGRCh38_wm_50md_PBCCS_sniffles_0_65396	0.1.1.0.0
HG002vGRCh38_wm_50md_PBCCS_sniffles_0_67945	0.1.2.0.0
HG004vGRCh38_wm_50md_PBCCS_sniffles_0_65397	0.1.2.0.0
HG004vGRCh38_wm_50md_PBCCS_sniffles_0_65395	0.1.3.0.0
HG002vGRCh38_wm_50md_PBCCS_sniffles_0_67944	0.1.3.0.0
HG003vGRCh38_wm_50md_PBCCS_sniffles_0_65983	0.1.3.0.0
HG002vGRCh38_wm_50md_PBCCS_sniffles_0_70264	0.1000.0.0
HG003vGRCh38_wm_50md_PBCCS_sniffles_0_68382	0.1000.0.0
HG003vGRCh38_wm_50md_PBCCS_sniffles_0_68385	0.1002.0.0
HG003vGRCh38_wm_50md_PBCCS_sniffles_0_68395	0.1004.0.0
HG004vGRCh38_wm_50md_PBCCS_sniffles_0_67633	0.1004.0.0
HG002vGRCh38_wm_50md_PBCCS_sniffles_0_70269	0.1004.0.0
HG003vGRCh38_wm_50md_PBCCS_sniffles_0_68396	0.1006.0.0
HG004vGRCh38_wm_50md_PBCCS_sniffles_0_67635	0.1006.0.0
HG002vGRCh38_wm_50md_PBCCS_sniffles_0_70271	0.1006.0.0
HG003vGRCh38_wm_50md_PBCCS_sniffles_0_68397	0.1007.0.0
HG004vGRCh38_wm_50md_PBCCS_sniffles_0_67645	0.1011.0.0
HG003vGRCh38_wm_50md_PBCCS_sniffles_0_68410	0.1014.0.0
HG002vGRCh38_wm_50md_PBCCS_sniffles_0_70290	0.1014.0.0
HG003vGRCh38_wm_50md_PBCCS_sniffles_0_68411	0.1015.0.0
HG002vGRCh38_wm_50md_PBCCS_sniffles_0_70291	0.1015.0.1
HG004vGRCh38_wm_50md_PBCCS_sniffles_0_67649	0.1015.0.1
HG004vGRCh38_wm_50md_PBCCS_sniffles_0_67651	0.1018.0.0
HG002vGRCh38_wm_50md_PBCCS_sniffles_0_70294	0.1020.0.0
HG002vGRCh38_wm_50md_PBCCS_sniffles_0_70305	0.1024.0.0.0
HG003vGRCh38_wm_50md_PBCCS_sniffles_0_68426	0.1024.0.0.0
HG002vGRCh38_wm_50md_PBCCS_sniffles_0_70306	0.1025.0.0
HG004vGRCh38_wm_50md_PBCCS_sniffles_0_67664	0.1025.0.0
HG004vGRCh38_wm_50md_PBCCS_sniffles_0_67670	0.1027.0.0
HG004vGRCh38_wm_50md_PBCCS_sniffles_0_67669	0.1027.0.1
HG002vGRCh38_wm_50md_PBCCS_sniffles_0_70316	0.1027.0.2
HG004vGRCh38_wm_50md_PBCCS_sniffles_0_67671	0.1027.0.3
HG002vGRCh38_wm_50md_PBCCS_sniffles_0_70331	0.1032.0.0
HG004vGRCh38_wm_50md_PBCCS_sniffles_0_67690	0.1032.0.0
HG002vGRCh38_wm_50md_PBCCS_sniffles_0_70332	0.1033.0.0
HG004vGRCh38_wm_50md_PBCCS_sniffles_0_67691	0.1033.0.0
HG003vGRCh38_wm_50md_PBCCS_sniffles_0_68459	0.1035.0.0
